,wall_time,step,value,log_dir,tag,dataset,resolution,model_step,sampler,inference_time,vae,fad_model,reference_dataset
23,1716554376.3764637,0,11.148565292358398,../hpc_tensorboard/models/ssd_512_64/model_step_40000/samples/sch_ddpm_nisteps_1000,fad_vggish_ref_fma_pop_gen_None,ssd,"512,64",40000,ddpm,0.951,False,vggish,fma_pop
24,1716554379.5504727,0,0.8266230225563049,../hpc_tensorboard/models/ssd_512_64/model_step_40000/samples/sch_ddpm_nisteps_1000,fad_clap-laion-audio_ref_musiccaps_gen_None,ssd,"512,64",40000,ddpm,0.951,False,clap-laion-audio,musiccaps
25,1716554382.685373,0,0.8609883785247803,../hpc_tensorboard/models/ssd_512_64/model_step_40000/samples/sch_ddpm_nisteps_1000,fad_clap-laion-music_ref_musiccaps_gen_None,ssd,"512,64",40000,ddpm,0.951,False,clap-laion-music,musiccaps
26,1716554385.6016011,0,15.728477478027344,../hpc_tensorboard/models/ssd_512_64/model_step_40000/samples/sch_ddpm_nisteps_1000,fad_vggish_ref_musiccaps_gen_None,ssd,"512,64",40000,ddpm,0.951,False,vggish,musiccaps
27,1716553989.8255508,0,0.8724836707115173,../hpc_tensorboard/models/ssd_512_64/model_step_40000/samples/sch_ddim_nisteps_100,fad_clap-laion-audio_ref_spotify_sleep_dataset_gen_None,ssd,"512,64",40000,ddim,0.092,False,clap-laion-audio,spotify_sleep_dataset
28,1716554223.0932264,0,0.7922854423522949,../hpc_tensorboard/models/ssd_512_64/model_step_40000/samples/sch_ddim_nisteps_100,fad_clap-laion-music_ref_spotify_sleep_dataset_gen_None,ssd,"512,64",40000,ddim,0.092,False,clap-laion-music,spotify_sleep_dataset
29,1716554378.1197686,0,7.843771934509277,../hpc_tensorboard/models/ssd_512_64/model_step_40000/samples/sch_ddim_nisteps_100,fad_vggish_ref_spotify_sleep_dataset_gen_None,ssd,"512,64",40000,ddim,0.092,False,vggish,spotify_sleep_dataset
30,1716554380.9303205,0,0.9122480154037476,../hpc_tensorboard/models/ssd_512_64/model_step_40000/samples/sch_ddim_nisteps_100,fad_clap-laion-audio_ref_fma_pop_gen_None,ssd,"512,64",40000,ddim,0.092,False,clap-laion-audio,fma_pop
31,1716554383.739864,0,0.9205465316772461,../hpc_tensorboard/models/ssd_512_64/model_step_40000/samples/sch_ddim_nisteps_100,fad_clap-laion-music_ref_fma_pop_gen_None,ssd,"512,64",40000,ddim,0.092,False,clap-laion-music,fma_pop
32,1716554386.246351,0,10.95999813079834,../hpc_tensorboard/models/ssd_512_64/model_step_40000/samples/sch_ddim_nisteps_100,fad_vggish_ref_fma_pop_gen_None,ssd,"512,64",40000,ddim,0.092,False,vggish,fma_pop
33,1716554388.952978,0,0.9136432409286499,../hpc_tensorboard/models/ssd_512_64/model_step_40000/samples/sch_ddim_nisteps_100,fad_clap-laion-audio_ref_musiccaps_gen_None,ssd,"512,64",40000,ddim,0.092,False,clap-laion-audio,musiccaps
34,1716554391.6794782,0,0.9238151907920837,../hpc_tensorboard/models/ssd_512_64/model_step_40000/samples/sch_ddim_nisteps_100,fad_clap-laion-music_ref_musiccaps_gen_None,ssd,"512,64",40000,ddim,0.092,False,clap-laion-music,musiccaps
35,1716554394.1083398,0,16.93347930908203,../hpc_tensorboard/models/ssd_512_64/model_step_40000/samples/sch_ddim_nisteps_100,fad_vggish_ref_musiccaps_gen_None,ssd,"512,64",40000,ddim,0.092,False,vggish,musiccaps
36,1716553990.0122235,0,0.5829997062683105,../hpc_tensorboard/models/ssd_512_128/model_step_40000/samples/sch_ddpm_nisteps_1000,fad_clap-laion-audio_ref_spotify_sleep_dataset_gen_None,ssd,"512,128",40000,ddpm,1.894,False,clap-laion-audio,spotify_sleep_dataset
