,wall_time,step,value,dataset,resolution,model_step,sampler,fad_model,reference_dataset
62,1716266831.9924862,0,14.325355529785156,ds,"64,64",2500,ddpm,encodec-emb-48k,drum_samples
63,1716266840.5488305,0,62.8473014831543,ds,"64,64",2500,ddpm,encodec-emb,drum_samples
64,1716266855.5436342,0,34.66458511352539,ds,"64,64",2500,ddpm,MERT-v1-95M,drum_samples
65,1716266858.3289993,0,1.189476490020752,ds,"64,64",2500,ddpm,clap-laion-audio,fma_pop
66,1716266861.1060963,0,1.139087438583374,ds,"64,64",2500,ddpm,clap-laion-music,fma_pop
67,1716266887.0212052,0,94.23474884033203,ds,"64,64",2500,ddpm,encodec-emb-48k,fma_pop
68,1716266889.3781235,0,641.1710815429688,ds,"64,64",2500,ddpm,encodec-emb,fma_pop
69,1716266892.790864,0,53.011131286621094,ds,"64,64",2500,ddpm,MERT-v1-95M,fma_pop
70,1716266895.684087,0,1.1491271257400513,ds,"64,64",2500,ddpm,clap-laion-audio,musiccaps
71,1716266898.300383,0,1.103766918182373,ds,"64,64",2500,ddpm,clap-laion-music,musiccaps
72,1716266920.9742336,0,65.37736511230469,ds,"64,64",2500,ddpm,encodec-emb-48k,musiccaps
73,1716266923.2888784,0,494.41522216796875,ds,"64,64",2500,ddpm,encodec-emb,musiccaps
74,1716266926.5986266,0,44.791343688964844,ds,"64,64",2500,ddpm,MERT-v1-95M,musiccaps
75,1716241659.3119879,0,0.3047839403152466,ds,"64,64",2500,ddim,clap-laion-audio,drum_samples
76,1716266788.2794237,0,0.3047870993614197,ds,"64,64",2500,ddim,clap-laion-audio,drum_samples
77,1716241669.010966,0,0.3443780839443207,ds,"64,64",2500,ddim,clap-laion-music,drum_samples
78,1716266797.9448683,0,0.3444027602672577,ds,"64,64",2500,ddim,clap-laion-music,drum_samples
79,1716266832.604447,0,14.264792442321777,ds,"64,64",2500,ddim,encodec-emb-48k,drum_samples
80,1716266840.8199666,0,62.10686111450195,ds,"64,64",2500,ddim,encodec-emb,drum_samples
81,1716266856.2301626,0,33.73784637451172,ds,"64,64",2500,ddim,MERT-v1-95M,drum_samples
82,1716266859.056457,0,1.242812156677246,ds,"64,64",2500,ddim,clap-laion-audio,fma_pop
83,1716266861.8690474,0,1.168777346611023,ds,"64,64",2500,ddim,clap-laion-music,fma_pop
84,1716266888.2040617,0,97.1496353149414,ds,"64,64",2500,ddim,encodec-emb-48k,fma_pop
85,1716266890.6080048,0,653.9049072265625,ds,"64,64",2500,ddim,encodec-emb,fma_pop
86,1716266894.0486274,0,53.8897705078125,ds,"64,64",2500,ddim,MERT-v1-95M,fma_pop
87,1716266896.7369316,0,1.204440712928772,ds,"64,64",2500,ddim,clap-laion-audio,musiccaps
88,1716266899.452026,0,1.1365225315093994,ds,"64,64",2500,ddim,clap-laion-music,musiccaps
89,1716266923.4694257,0,67.93989562988281,ds,"64,64",2500,ddim,encodec-emb-48k,musiccaps
90,1716266925.936279,0,506.310302734375,ds,"64,64",2500,ddim,encodec-emb,musiccaps
91,1716266929.0666656,0,45.7806396484375,ds,"64,64",2500,ddim,MERT-v1-95M,musiccaps
92,1716266788.6691196,0,0.21833471953868866,ds,"64,64",40000,ddpm,clap-laion-audio,drum_samples
93,1716266799.341569,0,0.2623579800128937,ds,"64,64",40000,ddpm,clap-laion-music,drum_samples
94,1716266828.0881808,0,11.200214385986328,ds,"64,64",40000,ddpm,encodec-emb-48k,drum_samples
95,1716266837.667407,0,45.49266052246094,ds,"64,64",40000,ddpm,encodec-emb,drum_samples
