,wall_time,step,value,dataset,resolution,model_step,sampler,vae,num_fad_samples,fad_model,reference_dataset
58,1716685462.3767614,0,0.8268756866455078,ssd,256,40000,ddpm,,1440,clap-laion-music,fma_pop
59,1716685464.7860615,0,11.496466636657715,ssd,256,40000,ddpm,,1440,vggish,fma_pop
60,1716685467.4361079,0,0.6955973505973816,ssd,256,40000,ddpm,,1440,clap-laion-audio,musiccaps
61,1716685470.1451218,0,0.8011502623558044,ssd,256,40000,ddpm,,1440,clap-laion-music,musiccaps
62,1716685472.492698,0,15.49012279510498,ssd,256,40000,ddpm,,1440,vggish,musiccaps
63,1716685446.543723,0,0.6078886985778809,ssd,256,40000,ddpm,,80,clap-laion-audio,spotify_sleep_dataset
64,1716685488.1438432,0,0.5989612340927124,ssd,256,40000,ddpm,,80,clap-laion-music,spotify_sleep_dataset
65,1716685506.090555,0,6.067509174346924,ssd,256,40000,ddpm,,80,vggish,spotify_sleep_dataset
66,1716685514.3129601,0,0.8039497137069702,ssd,256,40000,ddpm,,80,clap-laion-audio,fma_pop
67,1716685523.3411329,0,0.8919522166252136,ssd,256,40000,ddpm,,80,clap-laion-music,fma_pop
68,1716685525.789081,0,12.3165922164917,ssd,256,40000,ddpm,,80,vggish,fma_pop
69,1716685528.6330855,0,0.7702996134757996,ssd,256,40000,ddpm,,80,clap-laion-audio,musiccaps
70,1716685531.417707,0,0.8827836513519287,ssd,256,40000,ddpm,,80,clap-laion-music,musiccaps
71,1716685534.3684542,0,16.567546844482422,ssd,256,40000,ddpm,,80,vggish,musiccaps
72,1716685500.4315088,0,0.5822163820266724,ssd,256,40000,ddpm,,960,clap-laion-audio,spotify_sleep_dataset
73,1716685559.5435455,0,0.5832690000534058,ssd,256,40000,ddpm,,960,clap-laion-music,spotify_sleep_dataset
74,1716685585.4106162,0,6.017852783203125,ssd,256,40000,ddpm,,960,vggish,spotify_sleep_dataset
75,1716685588.239721,0,0.7457360029220581,ssd,256,40000,ddpm,,960,clap-laion-audio,fma_pop
76,1716685591.1218894,0,0.8327829837799072,ssd,256,40000,ddpm,,960,clap-laion-music,fma_pop
77,1716685593.5930195,0,11.742271423339844,ssd,256,40000,ddpm,,960,vggish,fma_pop
78,1716685596.282226,0,0.7069841623306274,ssd,256,40000,ddpm,,960,clap-laion-audio,musiccaps
79,1716685599.0035193,0,0.8073842525482178,ssd,256,40000,ddpm,,960,clap-laion-music,musiccaps
80,1716685601.7304852,0,15.708779335021973,ssd,256,40000,ddpm,,960,vggish,musiccaps
81,1716685349.1032488,0,0.578717052936554,ssd,256,40000,ddpm,,1120,clap-laion-audio,spotify_sleep_dataset
82,1716685409.209625,0,0.5807243585586548,ssd,256,40000,ddpm,,1120,clap-laion-music,spotify_sleep_dataset
83,1716685433.9405863,0,5.841476917266846,ssd,256,40000,ddpm,,1120,vggish,spotify_sleep_dataset
