Wall time,Step,Value
1716471523.1712635,19,0.8369609117507935
1716472091.632039,108,0.5153071880340576
1716472170.670931,173,0.5530065298080444
1716472258.2074685,245,0.5563461780548096
1716472276.4456017,260,0.5250897407531738
1716472304.413206,283,0.5216943621635437
1716472450.3006217,403,0.5310810804367065
1716472466.1055553,416,0.5488595962524414
1716472492.8551733,438,0.5282059907913208
1716472526.8936992,466,0.5331629514694214
1716473041.6680741,511,0.5233137607574463
1716473069.6425555,534,0.5249068737030029
1716473075.7251127,539,0.51152503490448
1716473097.6193151,557,0.5178259611129761
1716473146.2634075,597,0.5113475322723389
1716473196.1223912,638,0.5198485255241394
1716473203.4188778,644,0.560239315032959
1716473221.660504,659,0.5497614145278931
1716473350.5587938,765,0.5149615406990051
1716473399.2008586,805,0.5179587602615356
1716473463.6551251,858,0.517808735370636
1716473474.6006234,867,0.5255107879638672
1716474102.4935172,1005,0.5051367282867432
1716474124.3882878,1023,0.5400184392929077
1716474131.6860795,1029,0.5211867094039917
1716474232.6354702,1112,0.5174852609634399
1716474249.6636713,1126,0.5174009203910828
1716474281.287957,1152,0.5277354717254639
1716474282.5045779,1153,0.5241737365722656
1716474309.261795,1175,0.5231680870056152
1716474311.693102,1177,0.5061166286468506
1716474396.8255384,1247,0.5212392807006836
1716474406.5541852,1255,0.5132883787155151
1716474415.068198,1262,0.5091164112091064
1716474422.3657079,1268,0.5101197957992554
1716474553.6892977,1376,0.5163818001747131
1716474604.7636666,1418,0.5123238563537598
1716474653.4120533,1458,0.5215060710906982
1716474698.4110093,1495,0.5123066902160645
1716474708.1421704,1503,0.5179734230041504
1716474717.8723946,1511,0.5125212073326111
1716474721.5202012,1514,0.5131106972694397
1716474767.7255967,1552,0.5087012052536011
1716474860.135556,1628,0.5073446035385132
1716474872.3085852,1638,0.5082467198371887
1716475057.148962,1790,0.5062452554702759
1716475152.0028608,1868,0.5203385949134827
1716475201.8734322,1909,0.5156577229499817
1716475235.9348204,1937,0.5085987448692322
1716475249.3145664,1948,0.5217368006706238
1716475265.1306937,1961,0.5063371658325195
1716475409.8639452,2080,0.5036671161651611
1716475717.600655,2333,0.510380744934082
1716475791.8229733,2394,0.5240036845207214
1716475797.9049687,2399,0.5371608734130859
1716475850.207871,2442,0.5107545256614685
1716475866.0236864,2455,0.5071666240692139
1716475879.4084423,2466,0.50432288646698
1716476416.1827435,2529,0.5084855556488037
1716476475.7833076,2578,0.5046824216842651
1716476526.8664014,2620,0.5170481204986572
1716476590.121679,2672,0.5244286060333252
1716476593.770492,2675,0.5143977999687195
1716476602.2832603,2682,0.5288528203964233
1716476612.0120413,2690,0.5163463354110718
1716476641.2092657,2714,0.5097987651824951
1716476691.077836,2755,0.514864444732666
1716476698.3760526,2761,0.5118948817253113
1716476714.1897829,2774,0.5123775005340576
1716476720.2714593,2779,0.5111140012741089
1716476761.630072,2813,0.5043187737464905
1716476793.2545033,2839,0.5443447828292847
1716476944.0868864,2963,0.5089003443717957
1716477031.6715388,3035,0.5066140294075012
1716477047.4822128,3048,0.5311037302017212
1716477107.0899122,3097,0.5100350379943848
1716477130.203416,3116,0.5107804536819458
1716477143.5821984,3127,0.5095193386077881
1716477221.4292781,3191,0.5063008666038513
1716477232.37419,3200,0.5072594881057739
1716477254.2651844,3218,0.515056848526001
1716477268.8605828,3230,0.5078631639480591
1716477316.2953575,3269,0.5102946758270264
1716477451.3138092,3380,0.517677903175354
1716477457.3955998,3385,0.5097473859786987
1716477542.550644,3455,0.5032298564910889
1716477587.5592306,3492,0.5109582543373108
1716477598.5087636,3501,0.5139247179031372
1716477615.5375545,3515,0.5076819062232971
1716477704.3268468,3588,0.5319725275039673
1716477735.9456186,3614,0.5030385255813599
1716477738.3784404,3616,0.5073922872543335
1716477789.4594738,3658,0.520941436290741
1716477794.3260856,3662,0.5122398734092712
1716477797.976068,3665,0.5213944911956787
1716477802.8427012,3669,0.5141062140464783
1716477807.7086282,3673,0.5105878114700317
1716477916.0003598,3762,0.5193942189216614
1716478010.9058316,3840,0.5155156850814819
1716478094.8619707,3909,0.5186690092086792
1716478122.8511715,3932,0.5549603700637817
1716478154.4895563,3958,0.5220588445663452
1716478216.5411673,4009,0.5103678703308105
1716478223.8412929,4015,0.5162211656570435
1716478255.4763215,4041,0.512972891330719
1716478318.7407563,4093,0.5194904804229736
1716478339.4255948,4110,0.5376507043838501
1716478346.7251391,4116,0.5111223459243774
1716478354.0267503,4122,0.5157260298728943
1716478357.676097,4125,0.5051592588424683
1716478423.3762143,4179,0.5082188844680786
1716478506.232383,4247,0.5034263134002686
1716478514.7531593,4254,0.510716438293457
1716478569.5139823,4299,0.5155647397041321
1716478736.192844,4436,0.540900707244873
1716478843.2780046,4524,0.511191189289093
1716478845.7115695,4526,0.5090012550354004
1716478857.8807466,4536,0.5075148940086365
1716478944.2744772,4607,0.521534264087677
1716478947.9253068,4610,0.508807361125946
1716479046.4953573,4691,0.5581474304199219
1716479048.9286218,4693,0.5079556703567505
1716479146.2773917,4773,0.5166640281677246
1716479216.8545504,4831,0.5276648998260498
1716479221.7233686,4835,0.5140722990036011
1716479224.1560473,4837,0.5111953020095825
1716479232.6742148,4844,0.5204105973243713
1716479295.9622133,4896,0.5201199650764465
1716479958.2465122,5062,0.5094766616821289
1716479980.1441038,5080,0.5194970369338989
1716479981.360059,5081,0.5144414901733398
1716479991.0929208,5089,0.5065565705299377
1716479999.6100163,5096,0.5021505951881409
1716480068.9610786,5153,0.50879967212677
1716480071.394347,5155,0.5105367302894592
1716480111.5443742,5188,0.5108737945556641
1716480141.964593,5213,0.5024176836013794
1716480149.2635043,5219,0.5264079570770264
1716480157.7823694,5226,0.508876621723175
1716480197.9320817,5259,0.5038948059082031
1716480242.9475057,5296,0.5246399641036987
1716480245.3801842,5298,0.5066895484924316
1716480292.8362603,5337,0.5036332607269287
1716480334.2035625,5371,0.5061618685722351
1716480373.1318192,5403,0.5349329710006714
1716480425.4515157,5446,0.5110323429107666
1716480573.898849,5568,0.5112463235855103
1716480618.9260597,5605,0.5040781497955322
1716480763.7122273,5724,0.5072625875473022
1716480823.3279026,5773,0.5062694549560547
1716480896.3296676,5833,0.5090000629425049
1716480953.5262494,5880,0.5144553780555725
1716481037.5019965,5949,0.5055067539215088
1716481056.9740117,5965,0.5084349513053894
1716481088.6157117,5991,0.5324195623397827
1716481154.3221543,6045,0.5343886017799377
1716481213.93758,6094,0.5118117332458496
1716481238.2714386,6114,0.5039783120155334
1716481271.1182823,6141,0.5045230388641357
1716481305.183905,6169,0.5115925669670105
1716481384.26784,6234,0.5224050879478455
1716481387.917699,6237,0.5042362213134766
1716481462.122868,6298,0.5274006128311157
1716481504.7103574,6333,0.5112240314483643
1716481507.14407,6335,0.511427640914917
1716481530.2685204,6354,0.5100757479667664
1716481537.5717714,6360,0.5184990763664246
1716481634.9104137,6440,0.5353579521179199
1716481743.1767018,6529,0.5115759968757629
1716481757.7750893,6541,0.5277748107910156
1716481772.3743157,6553,0.5318864583969116
1716481773.5908604,6554,0.5044349431991577
1716481790.6208339,6568,0.5069114565849304
1716481812.5190034,6586,0.5127476453781128
1716481818.6019948,6591,0.5085448622703552
1716481829.5498328,6600,0.5059789419174194
1716481970.6881716,6716,0.5048473477363586
1716481974.3390014,6719,0.5075146555900574
1716481988.9400918,6731,0.5127496719360352
1716482055.8567896,6786,0.5350279808044434
1716482111.8148568,6832,0.5059593319892883
1716482154.3909447,6867,0.5092243552207947
1716482159.2584107,6871,0.5075758099555969
1716482212.7901516,6915,0.5161110162734985
1716482287.0036714,6976,0.5160154700279236
1716482294.3040502,6982,0.5067863464355469
1716482306.4700935,6992,0.5174175500869751
1716482379.4665432,7052,0.5156980752944946
1716482423.2574859,7088,0.5254291296005249
1716482451.2348127,7111,0.5080950856208801
1716482516.9303124,7165,0.5075152516365051
1716482533.9598215,7179,0.5041729211807251
1716482578.972119,7216,0.5035125017166138
1716482625.1951964,7254,0.5022700428962708
1716482673.8556285,7294,0.5041777491569519
1716482717.6540396,7330,0.5216954350471497
1716482746.8477275,7354,0.5077357292175293
1716482833.225281,7425,0.5206217169761658
1716482851.4776697,7440,0.5082569122314453
1716482877.0249436,7461,0.5078907012939453
1716482881.8923812,7465,0.5206722617149353
1716482903.7885613,7483,0.5014833211898804
1716482941.4971488,7514,0.5159269571304321
1716482964.614936,7533,0.5145080089569092
1716483030.2995653,7587,0.5107759833335876
1716483055.8507853,7608,0.5076478123664856
1716483058.2852867,7610,0.5095422863960266
1716483100.867733,7645,0.5343029499053955
1716483121.5516324,7662,0.5019478797912598
1716483194.5545008,7722,0.5113564729690552
1716483203.07121,7729,0.5049796104431152
1716483272.5588613,7786,0.5035197734832764
1716483284.7278857,7796,0.5041252374649048
1716483341.9084475,7843,0.521408200263977
1716483373.54093,7869,0.5090823769569397
1716483627.7012942,8078,0.5244696140289307
1716483655.6881824,8101,0.5197842121124268
1716483708.007737,8144,0.5173404216766357
1716483869.8326108,8277,0.506080687046051
1716483877.1318336,8283,0.5081838965415955
1716483892.9481153,8296,0.5074727535247803
1716483978.107666,8366,0.516272783279419
1716484012.1761818,8394,0.5025321841239929
1716484188.5956047,8539,0.5095254182815552
1716484207.0391145,8554,0.5069877505302429
1716484288.565586,8621,0.5205717086791992
1716484333.5868442,8658,0.5214639902114868
1716484334.8029203,8659,0.5052936673164368
1716484384.6844447,8700,0.5076018571853638
1716484406.5868945,8718,0.5205074548721313
1716484447.9636066,8752,0.5108349323272705
1716484463.9168432,8765,0.5022265911102295
1716484477.302795,8776,0.5219521522521973
1716484505.2867334,8799,0.5041216611862183
1716484536.9224548,8825,0.5052551031112671
1716484585.5876932,8865,0.5045804977416992
1716484591.6705263,8870,0.506371259689331
1716484648.851442,8917,0.5109566450119019
1716484737.6687737,8990,0.5174555778503418
1716484789.9883788,9033,0.5021405220031738
1716484809.4554503,9049,0.5199316740036011
1716484892.1884966,9117,0.5037928819656372
1716484897.0560591,9121,0.5172163248062134
1716485018.7209833,9221,0.5221911072731018
1716485051.573594,9248,0.5063304901123047
1716485057.6581073,9253,0.517868161201477
1716485103.89555,9291,0.5124882459640503
1716485129.4498456,9312,0.5102260112762451
1716485155.001955,9333,0.5234315991401672
1716485169.6025116,9345,0.5068418979644775
1716485193.9366488,9365,0.5099502801895142
1716485286.4221196,9441,0.5078192353248596
1716485344.8277037,9489,0.5069289207458496
1716485387.4145954,9524,0.5137066841125488
1716485415.4113722,9547,0.5104444026947021
1716485504.2365916,9620,0.5088881850242615
1716485606.4481838,9704,0.5053953528404236
1716485616.1812434,9712,0.5278483629226685
1716485647.8162243,9738,0.5093203186988831
1716485666.201059,9753,0.5074368715286255
1716485739.2025166,9813,0.5359358191490173
1716485752.5859468,9824,0.5143943428993225
1716485768.4014044,9837,0.5028073787689209
1716485804.905716,9867,0.5061683058738708
1716485836.5468214,9893,0.5050357580184937
1716485864.5275095,9916,0.547324538230896
1716485866.9598744,9918,0.5148236751556396
1716485903.4635444,9948,0.5139981508255005
1716485904.6797714,9949,0.5059025287628174
1716485905.896383,9950,0.5131407976150513
1716485918.0683122,9960,0.5083097219467163
1716485944.8357263,9982,0.5111894607543945
1716485950.9203742,9987,0.5297263860702515
1716486470.7670329,10036,0.5151330232620239
1716486503.62279,10063,0.5131568908691406
1716486579.0651448,10125,0.5115212202072144
1716486630.1798267,10167,0.502906084060669
1716486656.9489763,10189,0.5049788951873779
1716486659.3830047,10191,0.5256034731864929
1716486700.7536612,10225,0.5095818042755127
1716486771.322331,10283,0.5028098225593567
1716486835.8104897,10336,0.5079004168510437
1716486843.1131692,10342,0.507549524307251
1716486846.7633302,10345,0.5276956558227539
1716486884.6112015,10376,0.511839747428894
1716486907.731249,10395,0.5048460364341736
1716486968.5800579,10445,0.506353497505188
1716486975.8819366,10451,0.5106899738311768
1716486977.0985336,10452,0.5060106515884399
1716486984.399369,10458,0.5091379284858704
1716487036.7185085,10501,0.5156420469284058
1716487124.3276732,10573,0.5170605778694153
1716487152.3171685,10596,0.5158753395080566
1716487181.5240657,10620,0.506912887096405
1716487197.3375556,10633,0.5072054862976074
1716487209.5053537,10643,0.5091595649719238
1716487211.9387758,10645,0.5050052404403687
1716487295.9023294,10714,0.5026370286941528
1716487343.3588188,10753,0.5081393718719482
1716487670.6741161,11022,0.5057475566864014
1716487671.890614,11023,0.5198638439178467
1716487677.974457,11028,0.5162723660469055
1716487687.7077565,11036,0.5209593772888184
1716487709.605087,11054,0.5033095479011536
1716487764.3511462,11099,0.5008969902992249
1716487850.7350109,11170,0.5047109127044678
1716487896.9587758,11208,0.505882203578949
1716487916.4274273,11224,0.5039001703262329
1716488029.5762002,11317,0.5027356147766113
1716488071.0803697,11351,0.5056155920028687
