Wall time,Step,Value
1716114092.2805,4,1.2172691822052002
1716114095.0525255,15,1.0558451414108276
1716114106.258791,59,0.11816605925559998
1716114111.8050227,81,0.13295502960681915
1716114115.3328276,95,0.07992607355117798
1716114152.620864,127,0.06909730285406113
1716114159.8544827,156,0.03225339204072952
1716114173.9324446,212,0.023710258305072784
1716114180.0038595,236,0.02986607700586319
1716114197.5200531,306,0.08357272297143936
1716114204.8499784,335,0.01936722919344902
1716114211.0784433,360,0.030170122161507607
1716114211.5827484,362,0.018739156424999237
1716114221.6066976,402,0.03759051114320755
1716114229.445493,433,0.023188844323158264
1716114242.5054936,485,0.01888912171125412
1716114243.5089312,489,0.04875357821583748
1716114277.3090708,508,0.02668607234954834
1716114277.564511,509,0.03202683478593826
1716114281.6176133,525,0.03402899205684662
1716114283.3927581,532,0.017962563782930374
1716114283.645516,533,0.06770167499780655
1716114292.6651616,569,0.033397525548934937
1716114294.9431648,578,0.020802242681384087
1716114300.166639,599,0.009815697558224201
1716114306.2442331,623,0.03471348434686661
1716114322.5133348,688,0.019487373530864716
1716114326.3102994,703,0.009588615037500858
1716114343.4454815,771,0.011302642524242401
1716114360.7314577,840,0.01783948764204979
1716114367.5699697,867,0.019353192299604416
1716114376.5976856,903,0.01284879632294178
1716114385.613439,939,0.03471703082323074
1716114388.407216,950,0.019229475408792496
1716114393.4601276,970,0.027555828914046288
1716114394.9693391,976,0.01730244792997837
1716114399.9075387,996,0.015795622020959854
1716114434.429335,1018,0.015102606266736984
1716114443.9432704,1056,0.02841687947511673
1716114455.7424998,1103,0.029112057760357857
1716114461.6990917,1127,0.038207411766052246
1716114462.2253444,1129,0.01971226930618286
1716114462.7300348,1131,0.013677431270480156
1716114465.007212,1140,0.02650637738406658
1716114466.5230787,1146,0.03819079324603081
1716114469.5609956,1158,0.02720164880156517
1716114473.849998,1175,0.023555856198072433
1716114480.600851,1202,0.014074720442295074
1716114483.1304774,1212,0.02544960007071495
1716114486.155069,1224,0.03400023281574249
1716114489.1111841,1236,0.034244176000356674
1716114505.457003,1301,0.010080383159220219
1716114506.723219,1306,0.018085800111293793
1716114518.7692065,1354,0.025531921535730362
1716114524.492543,1377,0.014075443148612976
1716114526.772283,1386,0.016152743250131607
1716114529.809342,1398,0.029949523508548737
1716114532.591639,1409,0.013253305107355118
1716114534.874065,1418,0.011236117221415043
1716114536.0481076,1423,0.024808667600154877
1716114538.3243868,1432,0.010610618628561497
1716114551.3901067,1484,0.04323562979698181
1716114561.4250164,1524,0.02648700587451458
1716114569.2732174,1555,0.02131953090429306
1716114583.8716445,1613,0.015114743262529373
1716114586.8149333,1625,0.016032233834266663
1716114590.6091719,1640,0.010686833411455154
1716114597.3549416,1667,0.008620431646704674
1716114600.6496797,1680,0.011697065085172653
1716114605.2030423,1698,0.028982315212488174
1716114609.666852,1716,0.03608847036957741
1716114613.4648926,1731,0.015938878059387207
1716114621.0582595,1761,0.009990491904318333
1716114632.8637834,1808,0.020381156355142593
1716114644.9216592,1856,0.016775116324424744
1716114658.256856,1909,0.006903563626110554
1716114683.811255,2011,0.008744927123188972
1716114695.87152,2059,0.030304569751024246
1716114707.5159545,2105,0.016701333224773407
1716114731.8841236,2202,0.03711812198162079
1716114743.9402292,2250,0.012671039439737797
1716114751.6951082,2281,0.014584202319383621
1716114753.2157671,2287,0.02140151523053646
1716114761.9793649,2322,0.003967832773923874
1716114763.2428982,2327,0.03864317387342453
1716114765.5230775,2336,0.02781117707490921
1716114772.5163937,2364,0.01738950051367283
1716114773.2748284,2367,0.019862141460180283
1716114773.7808855,2369,0.021768169477581978
1716114774.0339813,2370,0.025403929874300957
1716114779.6108274,2392,0.022053390741348267
1716114783.3188937,2407,0.021538536995649338
1716114784.8417704,2413,0.048237621784210205
1716114790.9163296,2437,0.02051917091012001
1716114853.1572266,2570,0.012646321207284927
1716114857.207723,2586,0.024414807558059692
1716114860.9132683,2601,0.010179908946156502
1716114861.671795,2604,0.004522106144577265
1716114882.333876,2686,0.013672806322574615
1716114884.4989946,2695,0.031640976667404175
1716114887.0475621,2705,0.006372504867613316
1716114887.5526538,2707,0.02452263981103897
1716114888.3129447,2710,0.030168656259775162
1716114888.8198938,2712,0.01686256006360054
1716114896.6617112,2743,0.01271367259323597
1716114911.679539,2803,0.030390199273824692
1716114913.7064679,2811,0.016329007223248482
1716114916.2390974,2821,0.016578424721956253
1716114921.7112637,2843,0.004116905387490988
1716114933.1188622,2888,0.018035132437944412
1716114942.4000983,2925,0.007421644404530525
1716114943.410752,2929,0.02043282985687256
1716114949.6523376,2954,0.011501726694405079
1716114953.9511807,2971,0.017830144613981247
1716114977.0655587,3063,0.021471209824085236
1716114981.3701177,3080,0.00811566412448883
1716114988.876005,3110,0.017893705517053604
1716114989.6364737,3113,0.020406566560268402
1716115001.696158,3161,0.008717035874724388
1716115003.7192378,3169,0.01910184882581234
1716115008.6966612,3189,0.02466508187353611
1716115011.2284532,3199,0.022387109696865082
1716115022.2763019,3243,0.02000589668750763
1716115036.3620186,3299,0.023628851398825645
1716115042.6968846,3324,0.017992284148931503
1716115049.1922202,3350,0.01116449199616909
1716115061.2482092,3398,0.01641116477549076
1716115065.0523205,3413,0.020134752616286278
1716115069.769628,3432,0.008432225324213505
1716115088.9278402,3508,0.028426725417375565
1716115093.8810878,3528,0.004338163882493973
1716115095.1683836,3533,0.04162537306547165
