,wall_time,step,value,dataset,resolution,model_step,sampler,vae,fad_model,reference_dataset
60,1716549036.3861659,0,1.3551377058029175,ds,"256,256",10000,ddpm,vae,clap-laion-audio,fma_pop
61,1716549185.3681276,0,1.3839566707611084,ds,"256,256",10000,ddpm,vae,clap-laion-music,fma_pop
62,1716549340.4724276,0,16.94472312927246,ds,"256,256",10000,ddpm,vae,vggish,fma_pop
63,1716549443.117819,0,1.3614367246627808,ds,"256,256",10000,ddpm,vae,clap-laion-audio,musiccaps
64,1716549539.675799,0,1.4338277578353882,ds,"256,256",10000,ddpm,vae,clap-laion-music,musiccaps
65,1716549036.4439592,0,1.3716903924942017,ds,"256,256",10000,ddim,vae,clap-laion-audio,fma_pop
66,1716549185.5458767,0,1.392444372177124,ds,"256,256",10000,ddim,vae,clap-laion-music,fma_pop
67,1716549340.518687,0,17.08757781982422,ds,"256,256",10000,ddim,vae,vggish,fma_pop
68,1716549443.0868037,0,1.3789708614349365,ds,"256,256",10000,ddim,vae,clap-laion-audio,musiccaps
69,1716549539.6434605,0,1.4414968490600586,ds,"256,256",10000,ddim,vae,clap-laion-music,musiccaps
70,1716550663.752534,0,1.3440892696380615,ds,"256,256",20000,ddpm,vae,clap-laion-audio,fma_pop
71,1716550669.3250053,0,1.3669726848602295,ds,"256,256",20000,ddpm,vae,clap-laion-music,fma_pop
72,1716550672.5117362,0,16.714519500732422,ds,"256,256",20000,ddpm,vae,vggish,fma_pop
73,1716550675.1585724,0,1.3496294021606445,ds,"256,256",20000,ddpm,vae,clap-laion-audio,musiccaps
74,1716550677.7125561,0,1.4148653745651245,ds,"256,256",20000,ddpm,vae,clap-laion-music,musiccaps
75,1716550679.886484,0,24.45646858215332,ds,"256,256",20000,ddpm,vae,vggish,musiccaps
76,1716550234.4919617,0,1.3627986907958984,ds,"256,256",20000,ddim,vae,clap-laion-audio,fma_pop
77,1716550240.2512913,0,1.3783475160598755,ds,"256,256",20000,ddim,vae,clap-laion-music,fma_pop
78,1716550243.6668818,0,16.835926055908203,ds,"256,256",20000,ddim,vae,vggish,fma_pop
79,1716550246.3732703,0,1.3700895309448242,ds,"256,256",20000,ddim,vae,clap-laion-audio,musiccaps
80,1716550249.0607255,0,1.426740050315857,ds,"256,256",20000,ddim,vae,clap-laion-music,musiccaps
81,1716550251.4017942,0,24.59600067138672,ds,"256,256",20000,ddim,vae,vggish,musiccaps
82,1716453183.945499,0,0.4261869490146637,ds,"256,256",40000,ddpm,vae,clap-laion-audio,drum_samples
83,1716453308.2644043,0,0.488803505897522,ds,"256,256",40000,ddpm,vae,clap-laion-music,drum_samples
84,1716453373.8429534,0,5.639660358428955,ds,"256,256",40000,ddpm,vae,vggish,drum_samples
85,1716453377.0408332,0,1.333413004875183,ds,"256,256",40000,ddpm,vae,clap-laion-audio,fma_pop
86,1716453391.7147539,0,1.3535751104354858,ds,"256,256",40000,ddpm,vae,clap-laion-music,fma_pop
87,1716453538.0557625,0,16.386064529418945,ds,"256,256",40000,ddpm,vae,vggish,fma_pop
88,1716453633.0508692,0,1.3380159139633179,ds,"256,256",40000,ddpm,vae,clap-laion-audio,musiccaps
89,1716453725.2360435,0,1.396447777748108,ds,"256,256",40000,ddpm,vae,clap-laion-music,musiccaps
90,1716453824.2234845,0,24.008319854736328,ds,"256,256",40000,ddpm,vae,vggish,musiccaps
91,1716453183.995259,0,0.4281005561351776,ds,"256,256",40000,ddim,vae,clap-laion-audio,drum_samples
92,1716453308.3938262,0,0.48672690987586975,ds,"256,256",40000,ddim,vae,clap-laion-music,drum_samples
93,1716453374.815369,0,5.716455936431885,ds,"256,256",40000,ddim,vae,vggish,drum_samples
94,1716453377.6209724,0,1.3483351469039917,ds,"256,256",40000,ddim,vae,clap-laion-audio,fma_pop
95,1716453391.7809858,0,1.3646684885025024,ds,"256,256",40000,ddim,vae,clap-laion-music,fma_pop
96,1716453538.0097785,0,16.525663375854492,ds,"256,256",40000,ddim,vae,vggish,fma_pop
97,1716453633.170132,0,1.3545979261398315,ds,"256,256",40000,ddim,vae,clap-laion-audio,musiccaps
98,1716453725.394198,0,1.4085339307785034,ds,"256,256",40000,ddim,vae,clap-laion-music,musiccaps
99,1716453824.2483578,0,24.16666030883789,ds,"256,256",40000,ddim,vae,vggish,musiccaps
100,1716553049.0757816,0,0.9362083077430725,ssd,"256,256",100,ddpm,vae,clap-laion-audio,fma_pop
101,1716553055.1599178,0,1.059322476387024,ssd,"256,256",100,ddpm,vae,clap-laion-music,fma_pop
102,1716553059.0138369,0,15.90552043914795,ssd,"256,256",100,ddpm,vae,vggish,fma_pop
103,1716553061.959786,0,0.8953205347061157,ssd,"256,256",100,ddpm,vae,clap-laion-audio,musiccaps
104,1716553064.8787093,0,0.992163360118866,ssd,"256,256",100,ddpm,vae,clap-laion-music,musiccaps
105,1716553067.3904603,0,19.846359252929688,ssd,"256,256",100,ddpm,vae,vggish,musiccaps
106,1716553050.6655881,0,0.9299046397209167,ssd,"256,256",100,ddim,vae,clap-laion-audio,fma_pop
107,1716553057.4806435,0,1.0571377277374268,ssd,"256,256",100,ddim,vae,clap-laion-music,fma_pop
108,1716553062.0051043,0,15.537394523620605,ssd,"256,256",100,ddim,vae,vggish,fma_pop
109,1716553065.5320914,0,0.8890135884284973,ssd,"256,256",100,ddim,vae,clap-laion-audio,musiccaps
110,1716553069.057007,0,0.989870011806488,ssd,"256,256",100,ddim,vae,clap-laion-music,musiccaps
111,1716553072.2367933,0,19.51641273498535,ssd,"256,256",100,ddim,vae,vggish,musiccaps
112,1716553847.8394575,0,0.857764720916748,ssd,"256,256",500,ddpm,vae,clap-laion-audio,fma_pop
113,1716553853.2967944,0,1.0108736753463745,ssd,"256,256",500,ddpm,vae,clap-laion-music,fma_pop
114,1716553856.609178,0,13.454809188842773,ssd,"256,256",500,ddpm,vae,vggish,fma_pop
115,1716553859.2114189,0,0.8095197081565857,ssd,"256,256",500,ddpm,vae,clap-laion-audio,musiccaps
116,1716553861.8128371,0,0.9834396839141846,ssd,"256,256",500,ddpm,vae,clap-laion-music,musiccaps
117,1716553864.1088912,0,16.75516700744629,ssd,"256,256",500,ddpm,vae,vggish,musiccaps
118,1716553467.3609655,0,0.8699037432670593,ssd,"256,256",500,ddim,vae,clap-laion-audio,fma_pop
119,1716553473.0434778,0,1.0059648752212524,ssd,"256,256",500,ddim,vae,clap-laion-music,fma_pop
120,1716553476.4960063,0,13.632390022277832,ssd,"256,256",500,ddim,vae,vggish,fma_pop
121,1716553479.208768,0,0.8237111568450928,ssd,"256,256",500,ddim,vae,clap-laion-audio,musiccaps
122,1716553481.94147,0,0.981494665145874,ssd,"256,256",500,ddim,vae,clap-laion-music,musiccaps
