Wall time,Step,Value
1715791498.0579786,19,0.9005217552185059
1715791589.7149072,108,0.058479566127061844
1715791630.4969058,173,0.04186380282044411
1715791671.5017214,245,0.030036617070436478
1715791679.8510308,260,0.029255330562591553
1715791691.5339024,283,0.08183351159095764
1715791753.9013665,403,0.04806501418352127
1715791760.3112268,416,0.02828904613852501
1715791771.1908357,438,0.03277195990085602
1715791783.3837705,466,0.02348480187356472
1715791831.8337069,511,0.035668253898620605
1715791844.849598,534,0.043471768498420715
1715791847.3755164,539,0.019088931381702423
1715791855.384681,557,0.02283416874706745
1715791875.0475,597,0.023682910948991776
1715791893.6544788,638,0.01823597401380539
1715791896.1883059,644,0.04482455551624298
1715791903.9218783,659,0.06477168202400208
1715791951.9108407,765,0.0372466966509819
1715791968.6484325,805,0.0370088666677475
1715791996.7169602,867,0.028891336172819138
1715792006.172877,887,0.037552740424871445
1715792093.8938205,1016,0.019964449107646942
1715792098.8072941,1027,0.011537633836269379
1715792103.5112078,1038,0.041500333696603775
1715792141.3918853,1126,0.031188175082206726
1715792144.2555237,1133,0.03719058632850647
1715792153.2898393,1153,0.026173368096351624
1715792158.804085,1165,0.018581442534923553
1715792164.5714288,1177,0.04866284504532814
1715792167.6453989,1185,0.01835612580180168
1715792202.9273252,1253,0.02112610824406147
1715792203.7673028,1255,0.0134896757081151
1715792209.0791345,1268,0.017442984506487846
1715792210.7179549,1272,0.06791509687900543
1715792256.2912505,1377,0.009861186146736145
1715792273.7599385,1418,0.011877412907779217
1715792290.0677767,1459,0.017568545415997505
1715792309.885956,1503,0.03371201828122139
1715792313.4244845,1511,0.025549761950969696
1715792314.6710944,1514,0.00777169456705451
1715792330.3176677,1549,0.05418168753385544
1715792338.1522858,1566,0.03629603981971741
1715792368.568244,1636,0.021720146760344505
1715792384.1201162,1671,0.009173538535833359
1715792460.377013,1848,0.02288759872317314
1715792484.3169942,1900,0.010873228311538696
1715792488.9749017,1910,0.02361666038632393
1715792503.3479402,1941,0.06572289019823074
1715792511.798982,1961,0.00892476737499237
1715792512.1425552,1962,0.008211048319935799
1715792568.9365911,2090,0.03455839678645134
1715792688.7791972,2360,0.036192215979099274
1715792728.4168649,2437,0.031086456030607224
1715792730.9136548,2442,0.02707480639219284
1715792739.7381756,2463,0.013832761906087399
1715792740.7824063,2466,0.036614786833524704
1715792785.6601548,2504,0.029002565890550613
1715792826.8714268,2578,0.015024160966277122
1715792837.1760406,2600,0.0328800231218338
1715792853.1965387,2636,0.01872429810464382
1715792874.1877086,2682,0.03545069321990013
1715792875.539619,2685,0.02232448011636734
1715792880.03214,2694,0.029437001794576645
1715792886.2244608,2709,0.031184235587716103
1715792890.6291845,2718,0.00944640301167965
1715792909.1272044,2755,0.016006233170628548
1715792918.7693486,2779,0.012235674075782299
1715792921.9285114,2786,0.029966063797473907
1715792933.1665006,2813,0.027002407237887383
1715792947.191297,2845,0.02348248101770878
1715792955.938713,2862,0.018609769642353058
1715793006.3601713,2974,0.018648311495780945
