,Unnamed: 0,file_path,noise_level,bin,type
49,842,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_807.wav,-69.55329,0,ddim
50,1418,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_208.wav,-69.52041,0,ddim
51,516,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_824.wav,-69.369095,0,ddpm
52,790,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_342.wav,-69.249466,0,ddpm
53,1223,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_656.wav,-69.24466,0,ddim
54,847,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_472.wav,-69.23874,0,ddim
55,961,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_518.wav,-69.23342,0,ddim
56,870,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_376.wav,-69.20193,0,ddim
57,1742,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_584.wav,-69.08394,0,ddim
58,1535,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_82.wav,-69.03683,0,ddim
59,646,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_747.wav,-69.013824,0,ddpm
60,1845,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_495.wav,-68.91172,0,ddim
61,886,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_63.wav,-68.87243,0,ddim
62,1301,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_973.wav,-68.86052,0,ddim
63,1347,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_796.wav,-68.76467,0,ddim
64,1250,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_623.wav,-68.49948,0,ddim
65,1706,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_298.wav,-68.49541,0,ddim
66,1704,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_628.wav,-68.48646,0,ddim
67,1488,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_348.wav,-68.48596,0,ddim
68,1423,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_885.wav,-68.451935,0,ddim
69,16,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_470.wav,-68.451454,0,ddpm
